Data_Extracted_By,Type_of_Study,Authors,Year,DOI,Location,Type_of_Fishery,Fishery_Species,Climate_Y_or_N,Policy_Y_or_No,Climate_Stressor,Policy_Intervention,Output,Result,Notes
Annie,Research article,Gladstone et al. 2025,2025,https://doi.org/10.5751/ES-15964-300323,Baja California Sur,Small-scale,Multi species,Y,Y,"Climatic variability, temperature",Self-governance,Fisher vulnerability measures,"Using longitudinal data from five fishing communities, we find that self-governance form influences livelihood vulnerability in two key ways. First, it critically structures fisher access to marine resources of highly differentiated value and abundance and to government subsidies, and relatedly, levels of diversification across fisheries and alternative professions. Second, it sets the terms by which, and the degree to which, fishers hold agency over their fishing livelihoods, with implications for collective and individual responses to adverse forces.",
Annie,Research article,Turakulov et al.,2025,10.70102/ijares/v5i2/5-2-36,Theoretical,NA,NA,Y,Y,"Climate change, temperature, extreme weather, acidification","Quotas, catch limits, EBM, MPAs",Evaluation of policies,"These related and intersecting problems can be addressed by shifting ecosystem-based fisheries management to integrate research, stakeholder development, and policy innovation. This will require strategies such as dynamic quota systems, marine protected areas, community fisheries co-management, and consideration of climate projections for marine ecosystems in fisheries models to maintain ecological balance and ensure long-term productivity for those relying on marine resources. Remote sensing, data analytics, and genetic monitoring are also technological tools that can help modernize monitoring and enforcement.. This figure shows that EBM performs most strongly in terms of ecosystem health, MPAs outperform in terms of biomass recovery, and catch limit systems had relatively higher levels of compliance.","** This paper is quite similar topic wise to our review, but is not a review, more of a theoretical exploration"
Annie,Research article,Manuel & Macusi,2025,https://doi.org/10.47193/mafis.3832025010706,Philippines,Small-scale,"Ambon emperor, lunar tail snapper, goatfish, daggertooth, ornate thread bream, bigeye scad",See Notes,Y,"Climate change, coral bleaching",MPAs,Catch frequency,"The catch frequency from the different study sites was quantified (Mati = 2.1-4.0 kg trip-1, Lupon = 10.1-20.0 kg trip-1, San Isidro = 2.1-4.0 kg trip-1, Mabini = 0.1-2.0 kg trip-1) and showed declining trends. Such circumstances call for strict enforcement of the no-fishing zones within the established MPAs to generate greater yields in the long-term and benefits for the local communities.",*Discusses climate change but does not evaluate impacts
Annie,Research article,Campbell et al.,2025,10.1002/ecs2.70336,US Pacific coast,NA,"Groundfishes (sablefish, dover sole, lingcod, widow and yellowtail rockfishes)",See Notes,Y,Climate change,Off-shore windfarms,"Fish biomass, yield","Because fishing and other types of ves-sel traffic are often limited in the OWF area, OWFs may also serve as othereffective area-based conservation measures (OECMs). we found that plac-ing the OWF on high-quality habitat produced the greatest negative effects offishing grounds and fishery-independent data on fishery yields, but placing theOWF on low-quality habitat caused it to be ineffective as an OECM (in terms ofincreasing fish population biomass).",*One mention of climate change but not a focus
Annie,Research article,Aguirre-Villasenor et al.,2025,https://doi.org/10.1016/j.ocecoaman.2025.107601,Mexico,"Commercial, Artisanal",Pacific red snapper,Y,Y,Temperature,Subsidies,Fish distribution,"The results show that in the worst scenario (SSP585 to 2100), the zones with the highest and moderate negative impacts are located in around 24 fishery offices where 68% of the catch and 72% of the income occur, increasing the vulnerability of fishing communities due to the reduction in catches and greater fishing effort to compensate for losses. However, most models indicate low and positive impacts, as an increase in the species’ presence is expected in the northern Mexican Pacific Ocean due to a temperature rise. When allocated appropriately, government subsidies can strengthen resilience of fishing communities, by prioritizing the most vulnerable communities and users. Subsidies should focus on eliminating poverty and hunger, decreasing inequality, and promoting mitigation and adaptation in the face of climate change impacts",
Annie,Conference paper,Caputi et al.,2025,https://doi.org/10.1016/j.fishres.2025.107354,Western Australia,"Commercial, recreational, artisanal","Lobster, crab",Y,Y,"Climate change, heat waves, temperature, hypoxia","Removal of ghost gear, MPAs, gear modification, traditional management",Policy and research recommendations,The major outcomes and conclusions for fisheries management policy identified during the workshop included: (a) the need to take a ‘whole-of-resource’ approach rather than focusing on the effect of a particular fishery; (b) explicit recognition of socio-economic objectives in harvest strategies; (c) incorporating climate change within fisheries management systems; (d) assessment of stationarity assumptions in biological parameters; (e) recognising that regime shifts can result in major shifts in abundance and distribution of stocks; (f) importance of proper governance and compliance in fisheries management; (g) minimising fisheries interactions with protected species; (h) importance of long-term fishery-independent surveys for target species and ecosystem issues; (i) recovery of lost fishing gear; (j) recognition of spatial processes in the management of fisheries and the formation of marine protected areas; (k) importance of considering traditional knowledge alongside western science in fisheries assessment and management; and (l) acknowledging the need for ecosystem-based management which also takes into account the non-fisheries sectors competing for the same spatial area of the resource.,
Annie,Research article,Trifonova et al.,2025,10.1002/2688-8319.70039,United Kingdom and North Sea,Commercial,NA,Y,Y,"Climate change, temperature","Off-shore windfarms, marine spatial planning",Methods roadmap,We propose modelling approaches that can incorporate both the ecological ef-fects of large-scale fisheries displacements as well as ecosystem level changesto fish populations from OWF developments. The ecosystem models can alsopredict the effects on future trends of fish populations within climate changeforecasts,
Annie,Book chapter,Basnayake et al.,2025,10.1007/978-3-031-75826-3_26,Sri Lanka,Commercial and artisanal,"Lobster, crab",Y,Y,"Sea level rise, deoxygenation, temperature, acidification","Education, fishing effort controls, ecofriendly gear, MPAs, enforcement",Info from interviews,"The survey conducted shows that 88.3% of the sample are experiencing changes in lobster volume, with 85% of respondents noting changes in the diversity of catches within the past 10 years. Further, changes in temperature, ocean acidity and oxygen level are directly affecting on change the water chemistry and causing change animal habitats, influencing on reproductive cycles and speed of sextual maturity (larvae and juvenile) which ultimately reduce the catching stock. The impact of climate change mainly revolves around creating economic risk with fewer fishing days",
Annie,Book chapter,Alger,2025,10.4337/9781035325757.00024,Global,NA,NA,Y,Y,"Climate change, warming, acidification",MPAs,Research agenda,"States’ ambition to protect the ocean through MPAs is on the rise, but it can only produce results when they are well managed and not undermined by other policies, as studies of recently established large MPAs have already revealed",
Annie,Book chapter,Young,2025,10.4337/9781035325757.00022,,NA,NA,Y,Y,"Warming, sea level rise, acidification",UNCLOS,Research agenda for sustainable ocean governance,"Yet despite the significant contribution to ocean governance of the ITLOS opinion, the chapter shows why coordination and harmonization are not the only animating goals for the law of the sea. It points to plural responses to the ocean’s needs and ailing health, which emerge from other disciplines, perspectives, and ontologies, including rights for nature and the protection of the commons. Whether these will better support the governance or regulation of the drivers of ocean ill-health, which include but are not limited to our uses of the ocean, remains an open question",
Annie,Book chapter,Sharma,2025,10.1007/978-3-031-96432-9_4,,NA,NA,Y,Y,Carbon dioxide emissions,"Economic incentives, governance, enforcement",Review of ecological and environmental crimes,"Sustainable development goals like biodiversity conservation, climate action, and responsible consumption are hindered by these crimes, which erode ecosystem resilience, impede economic growth, and perpetuate social inequalities. They also weaken environmental policies and the rule of law. Combatting these crimes should be integrated into broader sustainable development frameworks.",
Annie,Research article,Miaomiao & Qian,2025,https://doi.org/10.3389/fmars.2025.1696134,Southern Ocean,Commercial,NA,Y,Y,"Climate change, warming",MPAs,Review of factors hindering MPAs,"By critically reviewing recent MPA negotiations and summarizing their key characters, this article identifies several structural constraints to more progress in MPA development. It also proposes a series of practical strategies for CCAMLR to overcome these challenges, highlighting the need for accommodating competing interests, refining MPA definitions, harmonizing criteria, designing enforcement mechanisms, and aligning itself with international regimes relating to spatial protection of marine ecosystems such as the Agreement on Marine Biological Diversity of Areas Beyond National Jurisdiction (BBNJ Agreement). The article argues that minimizing these structural constraints is essential for achieving a robust, representative MPA system in the Southern Ocean, thereby contributing to global marine conservation and climate adaptation efforts",
Annie,Review article,Daskalov et al.,2025,10.3389/fmars.2025.1640487,Europe,NA,NA,Y,Y,"Climate change, warming, acidification",,Fisheries management framework/platform,"An online platform, toolbox, academy, and a mobile application are end products delivered and maintained by EcoScope to facilitate knowledge sharing, communication, and education.",
Annie,Book chapter,De Gama,2025,10.4337/9781035325962.00022,,NA,NA,Y,Y,"Climate change, warming, acidification",Subsidies,Review of subsidies,There is a close correlation between curbing harmful subsidies that undermine sustainability and effects of climate change. The impact of commitments at COP28 will positively influence WTO negotiation in respect of fossil fuel subsidies and an equitable green transition.,
Annie,Book chapter,Issifu et al.,2025,10.4337/9781035325757.00027,,NA,NA,See Notes,Y,Climate change,Marine spatial planning,Policy recommendations to include economic info in MSP,"From the case studies presented herein, several solutions emerge for improving CBA in MSP. First, adjusting discount rates by lowering them can give more weight to future benefits, ensuring that long-term environmental and social outcomes are not undervalued (World Bank 2022). This adjustment would better reflect the true value of sustainable marine resource management over extended periods. Second, incorporating non-market values into CBA, such as ecosystem services, biodiversity, and cultural significance, can provide a more comprehensive assessment of the benefits and costs associated with MSP.",*Discusses climate change but does not evaluate impacts
Annie,Research article,Hasan et al.,2025,NA,Indonesia,NA,NA,Y,Y,"Climate change, warming",Artificial reefs,Effectiveness of artificial reefs,"The SWOT analysis revealed significant strengths, such as robust stakeholder engagement and government support, which are crucial for the program's sustainability. Opportunities for further development, such as integrating marine tourism and broader sustainability initiatives, were identified as potential avenues to enhance the program's impact. However, challenges such as resource limitations and the need for comprehensive stakeholder assessments remain areas for improvement.",
Annie,Review article,Castrejon et al.,2024,https://doi.org/10.1016/j.ocecoaman.2024.107436,Galapagos,Small-scale,65 species of finfish and shellfish,Y,Y,"Climate change, temperature, ENSO","Key strategies include enhancing adaptive capacity, promoting sustainable practices, and adopting a social-ecological and transdisciplinary research approach","Biomass, landings, search times, fishing costs, livelihood insecurity","While some species have shown increases in biomass, likely linked to sea surface temperature changes and altered ecosystem dynamics, the impacts on others remain uncertain or underexplored. Sailfin grouper (Mycteroperca olfax) and spiny lobster (Panulirus penicillatus and P. gracilis) fisheries have exhibited mixed responses to the El Nino, ˜ illustrating the complex nature of ENSO’s ecological effects, which are further exacerbated by overfishing. The socio-economic impacts on fishing communities include reduced landings, longer search times, higher fishing costs, and increased livelihood insecurity.",
Annie,Perspective,Anderson et al.,2024,https://doi.org/10.1038/s44183-024-00053-x,Global,NA,NA,Y,Y,Carbon dioxide emissions,"Reducing overfishing, including fish stock collapse, destruction of seabed habitats, provision of harmful subsidies and accompanying socio-economic impacts.",Policy recommendations,Managing overfishing is one of the most effective strategies in protecting ocean carbon stores and can make an important contribution to climate mitigation and adaptation,
Annie,Research article,Riley et al.,2024,https://doi.org/10.1016/j.ecolmodel.2024.110864,Scotland,Commercial,NA,See Notes,Y,"Climate change, temperature",MPAs,Modelling recommendations,This study highlights the importance of addressing the following key good modelling practices essential for enhancing the accuracy and reliability for informed decision-making: 1. Choosing appropriate spatial resolution: Select spatial resolution that matches the scale of management decisions to ensure accurate habitat representation. 2. Addressing MAUP: Consider the implications of MAUP in spatial data analysis to prevent biases in model outputs. 3. Acknowledging Uncertainties: Clearly communicate the uncertainties associated with model outputs to stakeholders to inform risk-based decision-making,*Discusses climate change but does not evaluate impacts
Annie,Research article,Queiros et al.,2024,https://doi.org/10.1016/j.scitotenv.2024.174623,Tanzania,Artisanal and semi-industrial,Pelagics,Y,Y,Carbon dioxide emissions warming,MPAs,Spatial trends of fish population,"Whilst in other areas of the ocean, climate-smart marine spatial management may allow for short- and mid-term resilience of local biodiversity and the blue economy (Queiros ´ et al., 2021; Doxa et al., 2022), our analysis of Tanzanian waters provides a stark example of where this may not be possible, not without global cooperation on decarbonisation",
Annie,Research article,Ayisi et al.,2024,https://doi.org/10.1016/j.stae.2024.100072,Ghana,Artisanal,NA,Y,Y,"Rainfall, sea level, humidity, temperature, storms",Climate-smart fisheries practices,Info from interviews,"this study document that, perception of fishers in relation to the extent to which co-management could contribute towards addressing climate change is strongly influenced by education, having a second source of income, age and an increase of fuel subsidy",
Annie,Research article,Jimenez-Bedoya et al.,2024,10.22034/gjesm.2024.04.18,Colombia,NA,NA,Y,Y,Rainfall,"Community management, conservation, sustainable water management",Info from interviews,"Priorities for government intervention include response to early emergencies, community participation, and stakeholder collaboration in future planning. Various strategies for adaptation were implemented, such as the management of communities, conservation of ecosystems, construction of resilient housing and livestock management, sustainable water management, and diversification of crops.",
Annie,Research article,Kruse et al.,2024,https://doi.org/10.1016/j.jenvman.2024.120685,North Sea,Commercial,Plaice,Y,Y,Changes in landings,"Fishing closures, offshore windfarms, MPAs",Factors that will influence fisheries in the near fture,"Our analysis of future scenarios, delineating changes in spatial constraints, economics, and socio-cultural aspects, identifies factors that will exert significant influence on this fisheries SES in the near future. These include the loss of fishing grounds due to the installation of offshore wind farms and marine protected areas, as well as reduced plaice landings due to climate change","Climate change only simulated as a reduction in landings, not explicit stressors"
Annie,Research article,Talbot et al.,2024,https://doi.org/10.1016/j.scitotenv.2024.170684,Philippines,"Municipal, Commercial","Pelagics, demersals",Y,Y,Greenhouse gas emissions,"Aquaculture expansion, catch diversification, spatial management, MPAs","Fish distribution, policy advice","We found widespread responses to climate change in pelagic species in particular, with abundances projected to decline across much of the case study area, highlighting the challenges of maintaining food security in the face of a rapidly changing climate. We argue that sustainable fisheries management in the Philippines in the face of climate change can only be achieved through management strategies that allow for the mitigation of, and adaptation to, pressures already locked into the climate system for the near term.",
Annie,Review article,Issifu et al.,2024,https://doi.org/10.3390/su16031210,"Case studies of Canada, U.S., U.K., Belgium, Australia, Germany",NA,NA,Y,Y,"Climate change, warming, sea level rise, storms",Marine spatial planning,Policy recommendations,"The review emphasized that applying economic information to support the design and implementation of MSPs would lead to better decisions, foster livelihoods, attract finance, and advance the long-term blue economy goals of conserving the oceans’ resources and ecosystems.",
Annie,Research article,Micheli et al.,2024,https://doi.org/10.3389/fmars.2024.1322108,Mexico,Small-scale,"Abalone, lobster",Y,Y,"Heat waves, hypoxia","Cooperative-established marine reserves, diversification, collective decision making, participatory science prorams","Abundance of algae, inverts, fish","Results indicate that local actions can support social and ecological resilience in the face of shocks, and that enabling locally-driven adaptation pathways is critical to resilience. This case study highlights the crucial importance of strengthening and supporting rights, governance, capacity, flexibility, learning, and agency for coastal communities to respond to change and sustain their livelihoods and ecosystems in the long run",
Annie,Research article,Stelzenmuller et al.,2024,https://doi.org/10.1016/j.jenvman.2023.119507,North Sea,Commercial (trawling),Demersals,Y,Y,Temperature,"Offshore wind development, discharge",Framework for developing scenarios,Our results show that future scenarios of spatial distributions could be developed for activities that are spatially refined and included in the current MSP process.,
Annie,Research article,Bodwitch et al.,2024,https://doi.org/10.3389/fmars.2024.1297975,"Canada, New Zealand",Indigenous,NA,See Notes,Y,Climate change,reconciling Indigenous fishing rights,Case studies,"we call for legal reforms that require settler-state governments to support Indigenous self-determination, to overcome the political risks politicians face when advocating for a non-majority group’s interests.",*Discusses climate change but does not evaluate impacts
Annie,Research article,Trifonova & Scott,2023,https://doi.org/10.1111/ecog.06925,North Sea,Commercial,"Pelagics, demersals, sandeel larvae",Y,Y,"Temperature, stratification",Offshore renewable energy,Population trends,"However, due to the interacting effects of climate (temperature, PEA and plankton production), fishing and future implications of ORE developments – including potential fisheries displacement – all these factors should be considered within current management and decision making. We have showed that the ecosystem dynamics in the shallow central North Sea might not be as robust to climate and/or anthropogenic changes; therefore, many trade-offs will need to be weighed up rapidly for the future sustainable management of marine ecosystems between different uses of our shallow shelf seas under the influence of future changes.",
Annie,Research article,McClanahan & Kosgei,2023,https://doi.org/10.1111/csp2.13043,"Kenya, Tanzania",Small-scale,"Goatfish, parrotfish, octopus, scavengers, mixed coral reef fishes",Y,Y,Temperature,Spatial closure,Fish production,"High spatial variability in yield patterns indicate interactions between fisheries management, compliance, trade connections, and governance. In climate refugia, reducing cumulative impacts will require knowing and managing for lower fisheries production limits.",
Annie,Research article,Vogleret al.,2023,https://doi.org/10.1016/j.ocecoaman.2023.106864,Uruguay,Small-scale,Pink shrimp,Y,Y,"Rainfall, winds, harmful algal bloom, ENSO intensification","Weak governance, dormant fisheries laws, non-compliance, lack of monitoring",Vulnerability assessment,"weak governance, dormant fisheries laws, non-compliance of fisheries regulations and lack of climate early warning monitoring hamper the adaptability of these small-scale fisher communities under global change scenarios",
Annie,Research article,Vaughan et al.,2023,https://doi.org/10.1016/j.marpol.2023.105763,United Kingdom,Commercial,"Demersals, pelagics",Y,Y,GHG emissions,Subsidies,Profitability analysis,"Our results suggest that if FTCs were immediately removed without adaptation to reduce fuel consumption on average, the UK fleet would likely have remained profitable only in recent years",
Annie,Review article,Ben-Hasan & Daliri,2023,https://doi.org/10.1007/s11160-022-09737-4,Arabian/Persian Gulf,Artisanal,"Demersals, pelagics, reef-associated, crustaceans, benthopelagics, jellyfish, elasmobranchs",Y,Y,Warming,"Gear restrictions, minimum size of capture, seasonal closures, spatial restrictions",Policy recommendations,we discussed four aspects to sustain artisanal fisheries in the Gulf: (i) routine collection of basic fisheriesrelated data that facilitates robust recommendations for management; (ii) enhanced enforcement of regulation through cooperative management to maximize the benefits of existing management actions; (iii) attempts from countries with internationally shared fish stocks to establish effective cooperation for harvesting shared fish stocks; and (iv) preserving and restoring essential fish habitats.,
Annie,Review article,Wanda et al.,2023,https://dx.doi.org/10.17159/sajs.2023/14320,South Africa,Commercial,NA,See Notes,Y,Climate change,Marine spatial planning,Review of information,"This contribution demonstrates the effectiveness of using MBES in hydroacoustic surveys, where seabed features are resolved in much greater detail and accuracy whilst revealing new features and seabed interactions in higher detail than previously available techniques could achieve. Therefore, South African researchers, MSP practitioners and the government will greatly benefit in making better decisions when planning, monitoring and protecting such MPAs",*Discusses climate change but does not evaluate impacts
Annie,Research article,Mouillot et al.,2023,DOI: 10.1111/gcb.16823,Pacific,Industrial,Tuna,Y,Y,Greenhouse gas emissions,"Exploitation rate, transshipment intensity, fuel consumption","Biomass, CO2 balance","we show that most tuna populations became CO2 sources instead of remain-ing natural sinks. Without considering the supply chain, the main factors associatedwith this shift are exploitation rate, transshipment intensity, fuel consumption, andclimate change",
Annie,Research article,Wolfenden & Penjueli,2023,https://doi.org/10.1057/s41301-023-00365-4,Global,Industrial,NA,Y,Y,"Climate change, acidification","Agreement on Fisheries Subsidies, Sustainable use of marine biological treaty in areas beyond national jurisdiction",Policy critiques,"The quick-fix promises of the ‘Blue Economy’ do not meet the custodianship obligations of Pacific Peoples. Instead, the countries of the Global North must address their role in the current crises that the oceans of the world face, Blue Economy: Industrialization and Militarization of Oceans? 45 rather than doubling down on that by expanding the industrialization and militarization of the ocean",
Annie,Research article,Letschert et al.,2023,https://doi.org/10.1016/j.ocecoaman.2023.106543,North Sea,Commercial,Demersal,Y,Y,"Climate change, temperature","Quotas, market prices",Spatio-temporal fisheries dynamics,"Our BRT analysis contributed to filling this research gap and highlighted the importance of biophysical drivers such as temperature, salinity, and bathymetry for fishing behavior. Contrary to findings of previous studies, our empirical analysis identified quotas and market prices to be irrelevant, except for low brown shrimp prices, which counter-intuitively increased fishing effort.",
Annie,Research article,Bastardie et al.,2022,https://doi.org/10.3389/fmars.2022.947150,"Europe (case studies of tropical Atlantic, Mediterranean, Baltic, Black Sea)",Commercial,"Hake, mullet, mackerel, herring, cod, sardine, anchovy, tuna, flatfish",Y,Y,"Warming, heatwaves, GHG emissions","Fuel use, fishing at MSY, reduced emissions",we provide 10 lessons to characterize ‘win-win’ fishing strategies for the European Union,"Overall, to effectively manage EU fisheries within a changing climate, flexible, adaptive, well-informed and wellenforced management is needed, with incentives provided for innovations and ocean literacy to cope with the changing conditions, while also reducing the dependency of the capture fishing industry on fossil fuels.",
Annie,Research article,Wang et al.,2022,DOI: 10.1002/mcf2.102151 of 16,California,Commercial,"Pelagic, squid, crab, groundfish",Y,Y,"Warming, deoxygenation, acidification","Offshore wind development, marine spatial planning",Landings over time,"Our results elucidate the most recent status and trends of Cali-fornia's commercial ?sheries, over time, across space, and among different ?sheries groups, providing valuable infor-mation for informing ?sheries management and marine spatial planning",
Annie,Research article,Ceccarelli et al.,2022,https://doi.org/10.1016/j.marpol.2022.105091,Indonesia,NA,Coral reef species,See Notes,Y,"Climate change, temperature",MPAs,Coral and fish health,Large and significant declines in many target fish families across multiple MPAs are reflective of unsustainable levels of exploitation. It is evident that management plans need to be implemented with adequate enforcement and stakeholder engagement to stem the decline of target species and to secure livelihoods for local fishing communities,*Discusses climate change but does not evaluate impacts
Annie,Review article,Trifonova et al.,2022,https://doi.org/10.1088/2516-1083/ac702a,United Kingdom,Commercial,NA,Y,Y,"Climate change, warming",Offshore renewable energy,Natural capital evaluation framework,"The proposed assessment framework measures ecosystem change, changes in ecosystem goods and services and changes in socio-economic value in response to ORE deployment scenarios as well as climate change, to provide objective information for decision processes seeking to integrate new uses into our marine ecosystems",
Annie,Review article,Fernandes et al.,2022,https://doi.org/10.3389/fmars.2022.787882,Global,NA,NA,Y,See Notes,"Sea level rise, extreme events, warming, species distribution shifts, diseases and HABs, shifts in currents and winds, ocean acidification, deoxygenation",See Notes,Discussion of vulnerability and risk,"Results show that most vulnerability and risk assessments address fisheries and marine conservation, and that sea-level rise and extreme events are the most frequently considered climate-related drivers of change","*Doesn't discuss fisheries policy, instead looks at vulnerability of fisheries, aquaculture, seabed mining, marine renewable energy, tourism, conservation"
Annie,Review article,Trifonova et al.,2022,https://doi.org/10.3389/fmars.2021.769680,North Sea,NA,NA,Y,Y,"Climate change, warming, sea level rise, deoxygenation, acidification",Offshore renewable energy,Review of predictive Baysian approaches to identify physical and biological indicators of ecosystem change,These combined approaches illuminate the feasibility of integrating knowledge across scales to be able to address the spatio-temporal variability of biophysical indicators to ultimately strengthen predictions of population changes at ecosystem scales across broadly different habitat types,
Annie,Research article,Yu & Chu,2022,https://doi.org/10.21463/jmic.2022.11.1.02,Penghu Islands,NA,NA,Y,See Notes,Climate change,"MPA, marine spatial planning",Analysis of stakeholder engagement in MPA,"This study suggests that the establishment of community patrol teams in Xiaomen Village, Qimei Township, and Wukan Village to protect shery resources can not only effectively bring about habitat conservation and maintain biodiversity but also take into account the economy of the shing villages and gradually bring youth back to the villages.",*Discusses climate change but does not evaluate impacts
Annie,Book chapter,Borges et al.,2022,https://doi.org/10.1007/978-981-19-5065-0_4,,,,,,,,,,
Annie,Research article,Mora et al.,2021,,,,,,,,,,,
Annie,Research article,Etongo & Lin,2021,,,,,,,,,,,
Annie,Research article,Queiros et al.,2021,,,,,,,,,,,
Annie,Research article,Sari et al.,2021,,,,,,,,,,,
Annie,Research article,Hamon et al.,2021,,,,,,,,,,,
Annie,Research article,Osemwegie et al.,2021,,,,,,,,,,,
Annie,Research article,Vilas et al.,2021,,,,,,,,,,,
Annie,Research article,Macusi et al.,2020,,,,,,,,,,,
Annie,Research article,Wilson et al.,2020,,,,,,,,,,,
Annie,Research article,Islam et al.,2020,,,,,,,,,,,
Annie,Research article,Mozumder et al.,2019,,,,,,,,,,,
Annie,Review article,Pfaff et al.,2019,,,,,,,,,,,
Annie,Research article,Lancker et al.,2019,,,,,,,,,,,
Annie,Research article,Andersson et al.,2019,,,,,,,,,,,
Annie,Research article,Aalto et al.,2019,,,,,,,,,,,
Annie,Research article,Belhabib et al.,2019,,,,,,,,,,,
Annie,Research article,Yanda et al.,2019,,,,,,,,,,,
Annie,Book chapter,Hoagland et al.,2019,,,,,,,,,,,
Annie,Book chapter,Vaughan & Agardy,2019,,,,,,,,,,,
Annie,Review article,Torre-Castro,2019,,,,,,,,,,,
Annie,Book chapter,Selden & Pinsky,2019,,,,,,,,,,,
Annie,Perspective,Lombard et al.,2019,,,,,,,,,,,
Annie,Book chapter,Molenaar & Caddell,2019,,,,,,,,,,,
Annie,Research article,Navarro et al.,2018,,,,,,,,,,,
Annie,Research article,Malakar et al.,2018,,,,,,,,,,,
Annie,Research article,Soares et al.,2018,,,,,,,,,,,
Annie,Research article,Sala & Giakoumi,2018,,,,,,,,,,,
